aerobic capacity,NCT01125436
catch down or even an interruption of growth,NCT01626833
meniscectomy,NCT01571102
diseases caused by measles mumps rubella and varicella viruses,NCT00578175
abnormality in fetal heart rate or rhythm unspecified as to episode of care,NCT01383889
dual diagnosis,NCT01639872
lower esophageal sphincter,NCT01199458
rheumatic diseases,NCT01227694
craniosynostoses,NCT01094977
chronic health condition,NCT01750892
opiate related disorders,NCT00723697
signs and symptoms digestive,"NCT01464814,NCT01675960"
smoking dependence,NCT01506908
low grade chronic inflammation,NCT01424306
malignant solid tumor,"NCT01670175,NCT01355302"
carcinoma of urinary bladder invasive,NCT01648010
modest hypertriglyceridemia,NCT01301794
malignant tumor of renal pelvis,NCT01326871
stage iv verrucous carcinoma of the larynx,"NCT00031681,NCT00101348,NCT01164566,NCT01192815,NCT01334177,NCT01637194"
hemophilia a,"NCT00157157,NCT00289536,NCT00586521,NCT00759655,NCT00868530,NCT01445197,NCT01477437,NCT01486927,NCT01541527,NCT01568580,NCT01652027,NCT01748201,NCT00195442"
hemophilia b,"NCT00866606,NCT01507896,NCT01620801,NCT01748201"
post lyme disease symptoms,NCT01518192
adult office workers,NCT01628861
stage i adenoid cystic carcinoma of the oral cavity,NCT01164566
arthritis,"NCT00289458,NCT01172327,NCT01184924,NCT01209585,NCT01224119,NCT01275014,NCT01285024,NCT01290185,NCT01303874,NCT01305356,NCT01312298,NCT01421160,NCT01615991,NCT01641471,NCT01641848,NCT01713062,NCT01725815,NCT01736644,NCT01792791"
stage ii papillary thyroid cancer,NCT01811212
weight maintenance,"NCT01171586,NCT01505387"
weaning period,NCT01280760
serogroup b meningococcal disease,NCT01640652
cardiovascular disease,"NCT01805973,NCT00116831,NCT00124072,NCT00249795,NCT00379899,NCT00567307,NCT00832702,NCT00857766,NCT01086800,NCT01087086,NCT01099007,NCT01099150,NCT01101230,NCT01102647,NCT01104038,NCT01114399,NCT01155128,NCT01178060,NCT01181882,NCT01230606,NCT01233778,NCT01234610,NCT01234636,NCT01235832,NCT01245686,NCT01251757,NCT01262703,NCT01283672,NCT01295567,NCT01295684,NCT01296607,NCT01306565,NCT01330602,NCT01335737,NCT01183962,NCT01339611,NCT01339026,NCT01363921,NCT01387945,NCT01411293,NCT01417663,NCT01424306,NCT01433484,NCT01435174,NCT01444651,NCT01459627,NCT01463436,NCT01472666,NCT01483235,NCT01485159,NCT01500356,NCT01503814,NCT01506505,NCT01524159,NCT01536964,NCT01537315,NCT01541826,NCT01552694,NCT01553058,NCT01562340,NCT01562782,NCT01564381,NCT01585038,NCT01592357,NCT01597453,NCT01606930,NCT01609582,NCT01629654,NCT01630213,NCT01667835,NCT01690312,NCT01692353,NCT01698164,NCT01717469,NCT01741428,NCT01761318,NCT01765270,NCT01766570,NCT01774812,NCT01775228,NCT01813357,NCT01823185"
myeloproliferative neoplasms mpn,NCT01211691
cml in blast crisis,NCT01204164
for intervention,NCT01637883
missing teeth,NCT01541345
reversal of skeletal muscle relaxant,NCT01539044
intestinal permeability,"NCT01241201,NCT01424306"
necsepsispulmonary hypertensionintracranial haemorrhagerds,NCT01263041
the primary outcome of this study will be the rate of endometritis in the study population,NCT01585129
ease of bowel preparation and patient tolerability,NCT01398020
epilepsy tonic clonic,NCT00104416
human herpesvirus 8,NCT00380770
changes in blood levels of drug,NCT01226316
ductal breast carcinoma,NCT01570998
postoperative complication,"NCT01141335,NCT01583751"
mastectomy,"NCT01217593,NCT01231204,NCT01554267"
provoked vestibulodynia,"NCT01704443,NCT01704456"
major depressive disorder 1,NCT01525524
liver neoplasm,"NCT01217034,NCT01542281"
omega 3 fatty acids,NCT01183520
healthy young volunteers,NCT01739647
stable coronary artery disease,NCT01184300
stretch marks,NCT01186848
transthyretin amyloidosis,NCT01171859
idiopathic pulmonary arterial hypertension,"NCT00626028,NCT01246037,NCT01288651,NCT01683981"
colonic adenomas,"NCT01422577,NCT01737567"
dietary induced cognitive function impairment,NCT01201616
prematurity of fetus,"NCT01352234,NCT01367015,NCT01388439,NCT01517828"
rotavirus gmt,NCT01700621
rhegmatogenous retinal detachment,NCT01255306
delayed function of renal transplant,NCT01663805
bone deformity,NCT01738113
influenza vaccination,NCT01248520
behavioral and psychological symptoms of dementia,NCT01302340
health care quality,NCT01227356
stage iii squamous cell carcinoma of the hypopharynx,"NCT01824823,NCT00033449,NCT00063895,NCT00101348,NCT01164566,NCT01192815,NCT01334177,NCT01674374,NCT01682031,NCT01696955,NCT01711541,NCT01810913"
adequate physical condition,NCT01331772
pancreatic adenocarcinoma resectable,"NCT01713218,NCT01715142"
nursemaid elbow,NCT01562535
lupus erythematosus systemic,"NCT00071487,NCT00137969,NCT01582880,NCT01702740,NCT01753193"
muscle trauma,"NCT01228162,NCT01804933"
performance and safety of an airway management device,NCT01482650
drug users,"NCT01343472,NCT01829308"
pancreatic tumors,"NCT01455311,NCT01501903"
polypharmacy patients on multiple medicines on long term conditions,NCT01739816
flupirtine,NCT01676246
stage iv rectal cancer,"NCT00005818,NCT00031681,NCT00101348,NCT00138177,NCT01652196,NCT01814501"
advanced mds without identical sibling donor,NCT01793675
parasitic disease,NCT01080989
coronary artery calcification,NCT00379899
solid organ sites,NCT01616537
acetabulum,NCT01230931
echolocation,NCT01674946
mxed hearing loss,NCT01671176
kidney transplant recipient,NCT01087190
cutaneous t cell lymphoma histone deacetylase inhibitor lymphoma oncology,NCT01486277
male sexuality after transurethral prostate surgeries,NCT01810068
simple diverticular disease,NCT01831323
muscle relaxation,NCT01228162
myocardial injury,"NCT01260259,NCT01548859,NCT01548872,NCT01688648"
coronary atherosclerosis,"NCT00715884,NCT01182649,NCT01268319"
laparoscopic gastric bypass surgery,NCT01748643
induction of labor,"NCT01139801,NCT01720394"
head and neck,"NCT01693718,NCT01794845"
fitness,NCT01803776
advanced stage colorectal cancer patients that received standard of care chemotherapy,NCT01736813
stage iia non small cell lung cancer,"NCT01345851,NCT01711697,NCT01726296"
thrombotic thrombocytopenic purpura,"NCT01151423,NCT01554514"
lacerations,NCT01202487
retinopathy of prematurity,"NCT01124331,NCT01232777,NCT01238471,NCT01266824"
colorectal cancer screening,"NCT01084746,NCT01519999,NCT01534923"
poor quality sleep,NCT01832155
constipation,"NCT01802112,NCT00526097,NCT00529087,NCT00770432,NCT01096290,NCT01102036,NCT01114997,NCT01161784,NCT01170039,NCT01189409,NCT01210625,NCT01267370,NCT01288508,NCT01295138,NCT01306448,NCT01333787,NCT01354080,NCT01375712,NCT01411501,NCT01416909,NCT01424228,NCT01447849,NCT01463293,NCT01513811,NCT01566409,NCT01582659,NCT01592734,NCT01618292,NCT01629303,NCT01710579,NCT01726504,NCT01726751,NCT01734226,NCT01781104"
spinal fracture,NCT00343252
emergency department utilization,NCT01543438
acne vulgaris,"NCT00525499,NCT00598832,NCT00599521,NCT00612573,NCT00635609,NCT00706433,NCT00891982,NCT00907257,NCT00907335,NCT00919191,NCT01014689,NCT01095640,NCT01132443,NCT01149330,NCT01160848,NCT01176955,NCT01180543,NCT01182636,NCT01209949,NCT01260766,NCT01301586,NCT01320033,NCT01326780,NCT01334970,NCT00689117,NCT01313728,NCT01362010,NCT01387048,NCT01422785,NCT01448733,NCT01466673,NCT01472900,NCT01474798,NCT01492647,NCT01501799,NCT01504204,NCT01522456,NCT01527123,NCT01613924,NCT01618773,NCT01628549,NCT01629797,NCT01631474,NCT01689935,NCT01694810,NCT01742637,NCT01769235,NCT01769664"
brain metastases,"NCT01551680,NCT01173497,NCT01421316,NCT01516983,NCT01535209,NCT01724606,NCT01731704,NCT01736800,NCT01821443"
stage iii salivary gland cancer,"NCT01824823,NCT00101348,NCT01334177,NCT01696955,NCT01810913"
adenocarcinoma pancreas,NCT01783054
growth hormone deficient adults,NCT01247675
seizures tonic clonic,NCT00104416
laryngoscopy,"NCT01556061,NCT01685320"
exposure to artificially accelerated beams of ionized particles generated by synchrotrons,NCT01641185
advanced non hematologic solid tumor,NCT01639911
thoracic cancer,NCT01440855
emphysema,"NCT00104637,NCT00250679,NCT00857766,NCT01077102,NCT01213043,NCT01229020,NCT01241942,NCT01302587,NCT01316900,NCT01316913,NCT01336283,NCT01361984,NCT01372410,NCT01421082,NCT01431625,NCT01602523,NCT01615484,NCT01682850,NCT01744093,NCT01758055,NCT00224198"
clinically significant portal hypertension,NCT01714609
gastric carcinoma,NCT01642797
adult meningeal hemangiopericytoma,NCT02020720
pediatric obstructive sleep apnea syndrome,NCT01680939
raynaud disease,NCT01743612
pneumococcal carriage,NCT01660659
primary heath care,NCT01269086
primary total knee arthroplasty,NCT01333956
high frequency high disability migraine,NCT01540799
childhood acute megakaryocytic leukemia m7,"NCT00006363,NCT01801046"
cirrhosis,"NCT01807013,NCT00076336,NCT00124228,NCT00347009,NCT00517738,NCT01157845,NCT01165073,NCT01242280,NCT01267669,NCT01292304,NCT01309594,NCT01331785,NCT01350167,NCT01387061,NCT01387503,NCT01403987,NCT01434108,NCT01458990,NCT01492127,NCT01551966,NCT01655121,NCT01777971"
nhl with hemophagocytic lymphohistiocytosis,NCT01818908
intubation conditions,NCT01312155
body temperature,NCT01176110
bacteraemia,NCT01619462
chronic diseases,"NCT00309296,NCT01326897,NCT01331174,NCT01577927,NCT01719991"
hepatitis c genotype 1,"NCT01221298,NCT01464827,NCT01471574"
infections bacterial,"NCT00539994,NCT01648179,NCT01663389,NCT01803399,NCT01818011"
life change events,NCT01586546
joint engagement,NCT01013545
methadone withdrawal syndrome,"NCT01558934,NCT01650649"
dental plaque,"NCT00762515,NCT01138943,NCT01142843,NCT01237782,NCT01250769,NCT01578603,NCT01580943"
anaplastic oligodendroglioma ao,"NCT01339039,NCT01392209"
x linked hypophosphatemia xlh,NCT00830674
cardiac arrhythmias,"NCT01715116,NCT01716351,NCT01719978"
chronic inflammation,NCT01686204
meningioma,NCT01347307
intestinal absorption,NCT01246492
chronic kidney disease ckd,NCT01530958
smokers,"NCT01213706,NCT01216735,NCT01345383,NCT01655082"
stage iv mantle cell lymphoma,"NCT01805037,NCT00019708,NCT00025415,NCT00040846,NCT00060112,NCT00096161,NCT01273766,NCT00098891,NCT00003970"
unilateral deafness,"NCT01264510,NCT01715948"
ovarian epithelial carcinoma,NCT01536743
ischemic congestive cardiomyopathy,NCT01399801
cognitive training,NCT01252966
common variable immunodeficiency,"NCT00542997,NCT01289847,NCT01652092"
other biomechanical lesions of cervical region,NCT01369381
excessive drinking,NCT01638338
part 2 advanced or metastatic gastric cancer,NCT01791374
nhl,NCT01101581
gum disease,"NCT01514552,NCT01559987"
pregnancy week 24 to 28 at study day,NCT01264042
chronic cluster headache,"NCT01151631,NCT01701245"
contrast enhanced computed tomography,NCT01772550
nut allergy,NCT01502878
malignant pleural mesothelioma,"NCT01098266,NCT01112293,NCT01211275,NCT01265433,NCT01243632,NCT01486368"
continuity of patient care,NCT01398761
ventricular arrhythmia,NCT01296022
preterm premature rupture of the membranes,NCT01401179
visceral adipose tissue accumulation,NCT01778712
laparoscopic proficiency,NCT01497782
bipolar depression,"NCT01807741,NCT00926393,NCT01213121,NCT01309581,NCT01403662,NCT01479829,NCT01514422,NCT01557192,NCT01586793,NCT01587066"
urinary bladder disorder neurogenic,NCT01530620
peptic ulcer,"NCT01138969,NCT01142245,NCT01180179,NCT01353144,NCT01376414,NCT01667692"
patients under antimicrobial therapy,NCT01137864
malignant neoplasm of thyroid,NCT00405405
oestrogen receptor positive advanced breast cancer,NCT01743560
disease due to bk polyomavirus,NCT01353339
evaluate glycemic response after consuming two types of white rice with high resistant starch content,NCT01685879
analgesia,"NCT00436345,NCT01097499,NCT01201499,NCT01217294,NCT01299584,NCT01522066,NCT01707251"
transitional cell carcinoma,"NCT00389155,NCT01215136,NCT01310803,NCT01438112,NCT01668459"
resilience psychological,NCT01680419
glucose,"NCT01398059,NCT01550133"
polycystic ovary syndrome,"NCT01462864,NCT00640224,NCT01115140,NCT01118598,NCT01138930,NCT01150539,NCT01195155,NCT01212263,NCT01360996,NCT01366391,NCT01421797,NCT01452477,NCT01457209,NCT01474967,NCT01482286,NCT01483118,NCT01487486,NCT01489319,NCT01504321,NCT01526616,NCT01573377,NCT01587378,NCT01638988,NCT01679574,NCT01793038,NCT01812161"
3 inflammation,NCT01827280
recurrent herpes labialis,NCT01324466
angiomyolipoma,NCT01217125
decision support systems clinical,NCT00915304
measles infection,NCT01486355
prolapse,"NCT01805310,NCT01551992,NCT01608568"
recurrent childhood glioblastoma,NCT02020720
cancer solid tumors,NCT01471210
ovarian neoplasm,"NCT01608009,NCT01821833"
colitis,NCT00184171
bone resorption,"NCT01505348,NCT01713634"
phantom limb pain of the upper extremities,NCT01554332
sleep onset insomnia,NCT01393574
twin pregnancy,NCT00502190
aspergillus infections,NCT01576315
implementation of a cognitive training for schizophrenia,NCT01279070
stage iii adenoid cystic carcinoma of the oral cavity,"NCT00101348,NCT01164566"
dental pain,NCT01104844
cathartic colon,NCT01554111
split dose bowel preparation,NCT01476735
pure autonomic failure,"NCT01223391,NCT01607268"
pleural neoplasms,NCT01776385
satisfaction with care,NCT01587105
parathyroid hormone suppression test with cinacalcet,NCT01103206
nonunion of bone graft,NCT01382485
childhood acute minimally differentiated myeloid leukemia m0,NCT00006363
nutrition intervention,NCT01739569
menstrual migraines,NCT01251263
medically complex children,NCT01587105
primary health care,"NCT01242319,NCT01326637,NCT01388374,NCT01550757,NCT01821014"
fracture of shaft of clavicle,NCT01410032
cystitis interstitial,NCT01613586
cerebral oxygen saturation,NCT01424800
smokeless tobacco cessation,NCT01341938
abdominal surgery by laparotomy,NCT01593657
adhd,"NCT00367835,NCT00499863,NCT00586157,NCT00697515,NCT00734578,NCT01109849,NCT01124708,NCT01124721,NCT01127607,NCT01219309,NCT01340690,NCT01351272,NCT01458340,NCT01593982,NCT01649232,NCT01659164,NCT01663610,NCT01678209,NCT01709695,NCT01725737,NCT01733680,NCT01755793,NCT01795053,NCT01813669"
beta blockers intolerance,NCT01224899
aneurysmal disease of the ascending aorta the arch and the proximal descending aorta,NCT01541410
parasitic diseases,NCT01425073
diabetes prevention,NCT01819493
acute lymphoid leukemia,"NCT01344876,NCT01720264,NCT01749111"
relapse,"NCT00867568,NCT01320748"
pre clinically disabled,NCT01183507
central venous pressure,NCT01116973
cocaine induced psychotic disorder during intoxication,NCT01569347
recurrent mycosis fungoidessezary syndrome,"NCT01805037,NCT00003196,NCT00005803,NCT00005799,NCT00014235,NCT00025415,NCT00040846,NCT00052377,NCT01273766,NCT00098891,NCT01408043,NCT00003970,NCT01652014,NCT01658319,NCT01727102,NCT01738594,NCT01760655"
paclitaxel induced neuropathy,NCT01682499
retinoblastoma,"NCT00623077,NCT01331135,NCT01393769,NCT01466855,NCT01558960,NCT01598454,NCT01661400,NCT01783535,NCT00186888"
neuroendocrine tumour,NCT01578239
acute myelogenous leukemia,"NCT00373529,NCT00486265,NCT01096602,NCT01145846,NCT01160354,NCT01207076,NCT01272817,NCT01288222,NCT01289678,NCT01300611,NCT00571662,NCT01361464,NCT01385423,NCT01397799,NCT01408563,NCT01413880,NCT01464359,NCT01483274,NCT01500161,NCT01532635,NCT01537159,NCT01556477,NCT01586455,NCT01597778,NCT01611298,NCT01634217,NCT01639456,NCT01744223,NCT01749111,NCT01830777"
breathless patients with any established underlying medical diagnosis,NCT01165034
roux en y gastric bypass surgery,NCT01214382
clinical trial,NCT01219348
optic neuropathy anterior ischemic,NCT01607671
allogeneic hematopoietic cell transplantation,NCT00888316
mechanical ventilation,"NCT00419601,NCT01104857,NCT01204281,NCT01233726,NCT01280019,NCT01348295,NCT01372176,NCT01519388"
healing of donor site,NCT01252836
stage ic ovarian epithelial cancer,NCT01764802
infant brain health,NCT01123759
stage iiia n2,NCT01217619
carcinoma,"NCT00006253,NCT00191308,NCT00565448,NCT00941863,NCT01125449,NCT01223209,NCT01301612,NCT01339975,NCT01345084,NCT01361100,NCT01479023,NCT01533324,NCT01556815,NCT01804829"
recurrent childhood gliomatosis cerebri,NCT02020720
evaluation of patients remission status following the various therapy strategiesmodalities for craniopharyngiomas,NCT01272622
irritable bowel syndrome characterized by constipation,NCT01622972
healthy elderly volunteers,"NCT01215552,NCT01739647"
parastomal hernia,NCT01380860
major depressive disorder recurrent unspecified,NCT01569711
adenocarcinoma of colon recurrent,NCT01402648
cheyne stokes respiration,"NCT00543452,NCT01095679,NCT01124370,NCT01199042"
pyrexia,NCT01078519
peripheral spondylarthritis,NCT01426815
myasthenia gravid,NCT01179893
relapsedrefractory all,NCT01319864
arrythmia,NCT01677351
pain after photorefractive keratectomy,NCT01177514
myasthenia gravis,"NCT01105923,NCT01828294"
dystonia,"NCT01169324,NCT01272154,NCT01433757,NCT01698450,NCT01705301"
refractory anastomotic esophageal strictures,NCT01699542
localized primary osteoarthritis of knee,NCT01765296
frail elders,NCT01568801
chronic thrombocytopenia,NCT01764971
carcinoma islet cell,NCT00428597
ankle fracture,"NCT01126398,NCT01431560,NCT01444144,NCT01484535,NCT01654393,NCT01729195"
mps i,NCT01572636
left ventricular function systolic dysfunction,"NCT01317329,NCT01504828"
caffeine,"NCT01477294,NCT01783561"
intertrochanteric fractures of the hip,NCT01238068
3d knee kinematics,NCT01661647
febrile seizure,NCT01370044
male pattern baldness,NCT01548066
cardiovascular disease cvd,"NCT01483053,NCT01605552,NCT01625845"
somatic dysfunction,NCT01123226
restless legs syndrome,"NCT00329602,NCT00365352,NCT00498186,NCT00530790,NCT00676403,NCT00748098,NCT01327339,NCT01411124,NCT01476124,NCT01528462,NCT01537042,NCT01569464,NCT01823354"
ocd,NCT01833442
adult nasal type extranodal nkt cell lymphoma,"NCT01805037,NCT00003196,NCT00005803,NCT00014235,NCT00040846,NCT01273766,NCT01408043,NCT01652014,NCT01658319,NCT01727102,NCT01760655,NCT01787409"
stage iii ovarian cancer,NCT01626014
liver tumors,"NCT01197820,NCT01782573"
bone loss,"NCT01102985,NCT01159873,NCT00171340"
ventilator acquired pneumonia,"NCT01807884,NCT01744483"
neonatal seizures,"NCT01089504,NCT01720667"
locally advanced or metastatic breast cancer,NCT00634088
stage iiib colon cancer,"NCT00060411,NCT01656746,NCT01726296,NCT01787409"
cancer recurrence,NCT01354041
screening of colonic polyps,NCT01076907
rhabdomyosarcoma and other soft tissue sarcomas,NCT01518413
heavy menstrual bleeding,"NCT00386308,NCT00401193,NCT01391052,NCT01769820"
intervention effectiveness,NCT01754610
tuberculosis,"NCT00023452,NCT00108862,NCT00130247,NCT01832987,NCT00851630,NCT01131351,NCT01136161,NCT01138202,NCT01162486,NCT01181856,NCT01198366,NCT01222338,NCT01288950,NCT01315301,NCT01329250,NCT01331811,NCT01340820,NCT01356095,NCT01378312,NCT01380119,NCT01545661,NCT01811823,NCT01459120,NCT01479972,NCT01497769,NCT01525134,NCT01530568,NCT01554384,NCT01574638,NCT01585636,NCT01642888,NCT01650389,NCT01683773,NCT01690754,NCT01693224,NCT01700790,NCT01724723,NCT01766830,NCT01770730,NCT01778062,NCT01828827,NCT01829490,NCT01830439,NCT00080119"
anaesthetics inhalation,NCT01092923
lipoproteins metabolism,NCT01216956
bacterial keratitis,NCT01831206
recurrent malignant testicular germ cell tumor,"NCT00042952,NCT01808534"
relapsed or refractory solid tumors,NCT01478685
plantar fasciitis,"NCT01326351,NCT01549678,NCT01588730,NCT01786057"
sound pressures in the operating theatre,NCT01612754
motor skills,NCT02030873
noncontiguous stage ii small lymphocytic lymphoma,"NCT01805037,NCT00040846,NCT00096161,NCT01273766,NCT01682044"
anal fistula,NCT01803347
surgical procedures operative,"NCT01082614,NCT01124474"
subjects must be males and sterile or postmenopausal females,NCT01764776
cataplexy,NCT01399606
juvenile idiopathic arthritis,"NCT00783510,NCT01287715,NCT01541917,NCT01557452,NCT01563185"
hip surgery corrective,NCT01683201
juvenile myelomonocytic leukemia,"NCT00014235,NCT00025038,NCT00096161,NCT01621477,NCT01760655,NCT01824693"
profound muscle relaxation,NCT01804933
subjective instablity,NCT01702597
opioid consumption,"NCT01460485,NCT01568437"
malignant melanoma metastatic,NCT01363206
stress disorders,"NCT01216982,NCT01459705,NCT01636791,NCT01667809,NCT01667822"
neonatal early onset sepsis,NCT01633294
vestibular schwannoma,NCT01449604
cesarean section,"NCT01161693,NCT01198691,NCT01211600,NCT01217567,NCT01297725,NCT01303731,NCT01440400,NCT01593280,NCT01687972,NCT01751256"
cholestasis extrahepatic,NCT00433771
high blood pressure,"NCT01099007,NCT01180413,NCT01289769,NCT01422616,NCT01622400,NCT01689844"
colorectal cancer,"NCT00004195,NCT00004604,NCT00005833,NCT00069095,NCT00069121,NCT00083616,NCT00027534,NCT00094809,NCT00107250,NCT00110721,NCT00112918,NCT00115765,NCT00118261,NCT00118755,NCT00125034,NCT01834742,NCT00335491,NCT00349336,NCT00488904,NCT00620295,NCT00622674,NCT00703638,NCT00828984,NCT00874224,NCT00940316,NCT01364844,NCT01074216,NCT01103479,NCT01106261,NCT01133990,NCT01139138,NCT01149304,NCT01183156,NCT01184482,NCT01186263,NCT01212718,NCT01215539,NCT01226719,NCT01251536,NCT01251666,NCT01253837,NCT01270360,NCT01274143,NCT01292681,NCT01304602,NCT01310699,NCT01311856,NCT01318161,NCT01318239,NCT01320319,NCT01340300,NCT01341366,NCT01356264,NCT01361035,NCT01370928,NCT01372527,NCT01373320,NCT01378143,NCT01395459,NCT01415089,NCT01416168,NCT01420874,NCT01427647,NCT01434264,NCT01440855,NCT01442649,NCT01442935,NCT00111761,NCT01458925,NCT01461148,NCT01465451,NCT01470586,NCT01477814,NCT01478594,NCT01483001,NCT01487343,NCT01490866,NCT01501604,NCT01504477,NCT01505972,NCT01507545,NCT01518023,NCT01522989,NCT01523353,NCT01523639,NCT01529164,NCT01538550,NCT01545141,NCT01547923,NCT01566942,NCT01568151,NCT01569984,NCT01570010,NCT01575340,NCT01587872,NCT01601548,NCT01609361,NCT01609660,NCT01610895,NCT01613430,NCT01617278,NCT01622543,NCT01623206,NCT01626963,NCT01631539,NCT01631552,NCT01641458,NCT01662752,NCT01667198,NCT01679756,NCT01691391,NCT01693562,NCT01694784,NCT01695863,NCT01708824,NCT01710215,NCT01730586,NCT01741363,NCT01754896,NCT01759238,NCT01776307,NCT01778192,NCT01780818,NCT01781650,NCT01801930,NCT01805622,NCT01815359,NCT00003254,NCT01831310,NCT01804179,NCT00192075,NCT00215982"
elderly women,NCT01642654
complete edentulism,NCT01566227
metastatic colorectal carcinoma,NCT01471353
retinal disease,"NCT00837252,NCT01482195"
herniated disk,NCT01367860
overweight or obesity,NCT01409356
pain in rheumatoid arthritis in older adults,NCT01225991
absolute bioavailability,NCT02052362
arteriovenous fistula complications and failure,NCT01669850
biomechanics,NCT01474031
regional anesthesia,NCT01568476
pharmacokinetics of methadone,NCT01582425
cricothyroidotomy,NCT01637207
thyroid,NCT01408368
limbal deficiency,NCT01619189
cardiac surgery,"NCT00651573,NCT00840918,NCT00894673,NCT01085071,NCT01124981,NCT01166841,NCT01246947,NCT01256372,NCT01267487,NCT01280019,NCT01398436,NCT01462968,NCT01470976,NCT01484639,NCT01539382,NCT01567371,NCT01595737,NCT01681758,NCT01713166"
locally advance breast cancer labc,NCT01471847
confusion,"NCT01136148,NCT01274819,NCT01505465"
severity of atopic dermatitis,NCT01148667
varicalle zoster virus infection,NCT01689285
shigellosis,NCT01509846
nightmares,"NCT01314612,NCT01502930"
stage iiib non small cell lung cancer with pleural effusion,NCT01337154
relapsedrefractory b cell lymphoma,NCT01766583
postoperative hyperalgesia,NCT01243801
drug induced liver injury,NCT01584765
lumbar spinal fusions,NCT01366196
seasonal influenza,"NCT00920374,NCT01140009,NCT01144299,NCT01180621,NCT01209780,NCT01344057,NCT01818362"
patients undergoing high risk pci,NCT00534859
benign prostatic hyperplasia bph,"NCT01604811,NCT01775488,NCT00224107"
neonatal outcome,NCT01261689
ivf poor responders,NCT01200537
allergy risk,NCT01180933
lead poisoning,"NCT01573013,NCT01739166"
stage iv midline lethal granuloma of the paranasal sinus and nasal cavity,"NCT00031681,NCT00101348"
behaviors,NCT01762553
iii degree hemorrhoids,NCT01413867
craniocerebral trauma,NCT01395472
influenza human,"NCT01808456,NCT00929331,NCT01156701,NCT01199744,NCT01390025,NCT01587131,NCT01591473,NCT01591837,NCT01688921,NCT01710111"
esophageal cancer tnm staging primary tumor t t2,NCT01745107
obstructive sleep apnea syndromes,NCT01400542
keloid,"NCT01408953,NCT01446770"
emotional distress,"NCT01805245,NCT01642628"
cervical lacerations,NCT01373801
cholelithiasis,"NCT01104727,NCT01139385,NCT01146184,NCT01339325,NCT01397565,NCT01424215,NCT01489436,NCT01492790,NCT01558414,NCT01615549,NCT01824186,NCT01708109"
digital ulcers,NCT01395732
major depressive disorder with psychotic features,NCT01075295
disorder heart functional postoperative cardiac surgery,NCT01780740
hypophosphataemia,NCT01676844
organ preservation rate,NCT01330056
infantile colic,"NCT00655083,NCT01721850,NCT01761331"
noncontiguous stage ii adult diffuse small cleaved cell lymphoma,"NCT01805037,NCT00040846,NCT00096161,NCT01273766"
diabetic foot ulcer,"NCT00393510,NCT01108120,NCT01113515,NCT01493895,NCT01645891,NCT01813305,NCT01814267,NCT01816672"
cold intolerance of the reconstructed finger,NCT01559337
asymptotic venous thrombosis,NCT01474902
fetal hypoxia,NCT01533701
recurrent ovarian cancer,"NCT01626014,NCT01637532,NCT01639885,NCT01659554,NCT01809379"
sensitization against betula alba birch pollen,NCT01694836
progression of non small cell lung cancer,NCT01774578
female orgasmic disorder,NCT01803802
bereavement,"NCT01179568,NCT01292512,NCT01573689"
respiratory paralysis,NCT01385384
recurrent uterine sarcoma,NCT01652794
primary brain tumors,"NCT00639262,NCT01472731,NCT01528046"
fracture reduction,NCT01211158
chronic myeloproliferative disorders,"NCT00005622,NCT00006379"
mild to moderate edema of diabetic legs,NCT01529385
plaque accumulation,NCT01197105
maculopathiesage related,NCT01494805
generic drugs,NCT01096212
pediatric burns,NCT01605747
intermittent fasting,NCT01378208
hemophagocytic lymphohistiocytosis,"NCT01494103,NCT01652092"
carotid atherosclerotic disease,NCT01102504
early hodgkins,NCT01790152
impacted third molar tooth,NCT01429935
the focus is to assess 25 hydroxyvitamin d levels and well being,NCT01555424
mediastinal lymphadenopathy,"NCT01658280,NCT01734980"
in utero nicotine,NCT01723696
herpes zoster,"NCT00130793,NCT00322231,NCT00535730,NCT00550745,NCT00886613,NCT01229267,NCT01327144,NCT01483378,NCT01573182,NCT01601925"
intervertebral disk displacement,"NCT00353704,NCT01615328"
spontaneous subarachnoid hemorrhage,NCT01801306
infection of skin donor site,NCT01539980
patient with a single stone of 5 to 20 mm per unit renal,NCT01604304
pancreatic pseudocysts,NCT01419769
early onset alzheimer disease,NCT01400542
adult giant cell glioblastoma,"NCT02020720,NCT01806675,NCT00006773,NCT00014170,NCT00016328,NCT00045565,NCT00058097,NCT00039494,NCT00045110,NCT01478321,NCT01730950,NCT01753713,NCT00085254"
lower respiratory tract infection,"NCT01076166,NCT01154803,NCT01735084"
acral lentiginous malignant melanoma,NCT01395121
post traumatic stiffness,NCT01129583
pelvic floor distress and impact scores,NCT01403701
avascular necrosis of the femoral head,NCT01643655
diabetic retinopathy,"NCT01102946,NCT01179555,NCT01201161,NCT01202461,NCT01223612,NCT01225653,NCT01295775,NCT01298076,NCT01304225,NCT01323348,NCT01445899,NCT01476449,NCT01487629,NCT01504724,NCT01591902,NCT01625598,NCT01628289,NCT01717937,NCT01728883,NCT01743781,NCT01746563,NCT00198510"
bacteriuria,"NCT01349738,NCT01691430"
pathology,NCT01628250
valve heart disease,NCT01571791
pik3ca mutated advanced solid tumors,NCT01708161
assessment of skin moisturization factors,NCT01368224
multiple tumors,NCT01387061
cancer of gastrointestinal tract,NCT01730586
safety and tolerability in elderly,NCT01657890
